"","Stand_name","Property","Stand_code","City","County","State","Owner","Ownership_cat","Harvest_status","Dates_sampled","num_plots","sample_lat","sample_long","treatment_type","harvest_start_year","harvest_end_year","notes","BA_sqm","BA_sqm_ha"
"31","Mathewson State Forest stand 3-1-11","Mathewson State Forest","MSF3111","Wheelock","Caledonia","VT","VT FPR","public_state","not cut","7/16/2020",4,44.610306,-72.068045,"na","na","na","",6.08823718030314,38.0514823768946
"32","Mud Pond 2013-14","Mud Pond property","MP1314","Greensboro","Orleans","VT","Vermont Land Trust","private","cut","6/9/20, 6/10/20, 6/15/20",6,44.637807,-72.241975,"regen_focus","2013","2014","counting as regen b/c of crop tree sections",8.17571575115787,34.0654822964911
"33","Mud Pond 2019","Mud Pond property","MP19","Greensboro","Orleans","VT","Vermont Land Trust","private","cut","6/8/20, 6/9/20, 6/15/20",7,44.628268,-72.239941,"thinning_focus","2019","2019","",11.4212042613243,40.7900152190153
"34","Mud Pond unharvested","Mud Pond property","MP","Greensboro","Orleans","VT","Vermont Land Trust","private","not cut","6/10/20, 6/15/20",4,44.635516,-72.239189,"na","na","na","",7.5326223562959,47.0788897268494
"35","Potter Mtn Rd. Hancock Unit","Pittsfield State Forest","PSFPMH","Hancock","Berkshire","MA","Massachusetts Department of Conservation & Recreation","public_state","cut","8/13/2020",6,42.531607,-73.299895,"thinning_focus","2017","2018","also mentions establishing white ash regen as a secondary goal, but PRIMARY goal si dramatic reduction of ash BA",9.47877463976662,39.4948943323609
"36","Roaring Brook stand 125-5","Green Mountain National Forest","GMRB5","Stamford","Bennington","VT","USFS","public_national","to be cut","7/8/2020",4,42.792949,-73.079846,"na","na","na","",7.57278518521857,47.3299074076161
"37","Roaring Brook stand 125-6","Green Mountain National Forest","GMRB6","Stamford","Bennington","VT","USFS","public_national","to be cut","7/8/2020",4,42.79026,-73.081395,"na","na","na","",7.92321157193646,49.5200723246029
"38","Schoolhouse Lot, BB stand","October Mountain State Forest","OMSFSCH","Washington","Berkshire","MA","Massachusetts Department of Conservation & Recreation","public_state","cut","8/11/2020",6,42.331395,-73.178923,"thinning_focus","2015","2016","",11.1421074912147,46.4254478800613
"39","Shaker State Forest","Shaker State Forest","SSF1","Canterbury","Merrimack","NH","New Hampshire Department of Natural and Cultural Resources","public_state","cut","9/15/20, 9/16/20",7,43.377916,-71.462535,"other","2015","2015","",8.97715487082729,32.0612673958118
"40","Sherlock Lot 2014","October Mountain State Forest","OMSFSH14","Washington","Berkshire","MA","Massachusetts Department of Conservation & Recreation","public_state","cut","8/19/20, 8/20/20",6,42.340358,-73.141043,"thinning_focus","2015","2015","",8.40612710804795,35.0255296168665
"41","Sherlock Lot 2017","October Mountain State Forest","OMSFSH17","Washington","Berkshire","MA","Massachusetts Department of Conservation & Recreation","public_state","cut","8/20/2020",6,42.337194,-73.145947,"thinning_focus","2019","2020","",9.13324464839961,38.0551860349984
"42","Stoner Woodlot","Stoner Woodlot","SW","Greensboro","Orleans","VT","Stoner family","private","not cut","7/29/2020",4,44.630491,-72.308431,"na","na","na","",5.42605518741664,33.912844921354
"43","Sunnyside stand 63-49","Green Mountain National Forest","GMSS","Peru","Bennington","VT","USFS","public_national","cut","7/6/2020",6,43.210909,-72.960232,"thinning_focus","2018","2019","this is another one w/ diam-limit cutting, but also mention to not completely liquidate ash…flag for Tony/send him the language?",10.4408922471946,43.5037176966441
"44","Tunxis State Forest stand 49","Tunxis State Forest","TSF49","Hartland","Litchfield","CT","Connecticut Department of Energy and Environmental Protection","public_state","to be cut","8/19/2020",4,42.024529,-73.003068,"na","na","na","",6.19738724515472,38.733670282217
"45","York Lake stand 2","Sandisfield State Forest","SSFYL2","Sandisfield","Berkshire","MA","Massachusetts Department of Conservation & Recreation","public_state","cut","8/19/2020",6,42.09893,-73.175334,"thinning_focus","2014","2016","many MA stands (& others) mention BBD as a primary motivator & EAB/ash (pre)salvage as secondary",12.6117228242062,52.5488451008592
