"22"
""
""
"Appendix C"
"Standing dead tree absolute density and its uncertainty for each decay class by species present in the U.S. FIA inventory"
"Genus          Species          Code      den0    den1    unc1    cod1   den2    unc2    cod2   den3    unc3    cod3    den4   unc4      cod4"
"Pinus          leiophylla    PILE    0.370   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          monophylla    PIMO    0.500   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          monticola     PIMO3   0.350   0.341   0.010    B     0.348   0.012    B     0.437   0.057    B     0.284   0.336      C"
"Pinus          muricata      PIMU    0.370   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          nigra         PINI    0.410   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          palustris     PIPA    0.540   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          ponderosa     PIPO    0.380   0.335   0.010    B     0.383   0.013    B     0.469   0.058    B     0.217   0.336      C"
"Pinus          pungens       PIPU2   0.490   0.389   0.021    B     0.359   0.017    B     0.398   0.060    B     0.260   0.336      C"
"Pinus          radiata       PIRA    0.370   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          resinosa      PIRE    0.410   0.337   0.019    B     0.373   0.017    B     0.383   0.060    B     0.252   0.336      C"
"Pinus          rigida        PIRI    0.470   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          sabiniana     PISA    0.370   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"continued"
"     Appendix C.—continued"
"Genus          Species             Code    den0    den1    unc1    cod1   den2    unc2    cod2   den3    unc3    cod3   den4    unc4      cod4"
"Pinus          serotina            PISE    0.510   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          strobiformis        PIST2   0.350   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          strobus             PIST    0.340   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Pinus          sylvestris          PISY    0.380   0.370   0.010    A     0.360   0.010    A     0.310   0.030    A     0.284   0.336      C"
"Pinus          taeda               PITA    0.470   0.382   0.011    B     0.352   0.012    B     0.325   0.057    B     0.324   0.336      C"
"Pinus          virginiana          PIVI    0.450   0.364   0.015    B     0.373   0.017    B     0.388   0.060    B     0.284   0.336      C"
"Planera        aquatica            PLAQ    0.530   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Platanus       occidentalis        PLOC    0.460   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Populus        alba                POAL    0.370   0.374   0.085    B     0.464   0.119    B     0.314   0.115    B     0.269   0.337      C"
"Populus        angustifolia        POAN    0.340   0.374   0.085    B     0.464   0.119    B     0.314   0.115    B     0.269   0.337      C"
"Populus        balsamifera         POBA    0.310   0.374   0.085    B     0.464   0.119    B     0.314   0.115    B     0.269   0.337      C"
"Populus        deltoides           PODE    0.370   0.374   0.085    B     0.464   0.119    B     0.314   0.115    B     0.269   0.337      C"
"Populus        fremontii           POFR    0.340   0.374   0.085    B     0.464   0.119    B     0.314   0.115    B     0.269   0.337      C"
"Populus        grandidentata       POGR    0.360   0.356   0.031    B     0.464   0.119    B     0.313   0.086    B     0.269   0.337      C"
"Populus        heterophylla        POHE    0.370   0.374   0.085    B     0.464   0.119    B     0.314   0.115    B     0.269   0.337      C"
"Populus        sargentii           POSA    0.370   0.374   0.085    B     0.464   0.119    B     0.314   0.115    B     0.269   0.337      C"
"Populus        species             POSP    0.370   0.392   0.033    B     0.464   0.119    B     0.315   0.086    B     0.269   0.336      C"
"Populus        tremuloides         POTR    0.390   0.370   0.020    A     0.290   0.020    A     0.210   0.030    A     0.269   0.337      C"
"Prosopis       species             PRSP    0.580   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Prunus         americana           PRAM    0.470   0.518   0.044    B     0.460   0.052    B     0.295   0.112    B     0.356   0.338      C"
"Prunus         nigra               PRNI    0.470   0.518   0.044    B     0.460   0.052    B     0.295   0.112    B     0.356   0.338      C"
"Prunus         pensylvanica        PRPE    0.360   0.425   0.024    B     0.371   0.045    B     0.227   0.084    B     0.356   0.338      C"
"Prunus         serotina            PRSE    0.470   0.612   0.047    B     0.549   0.050    B     0.363   0.090    B     0.356   0.338      C"
"Prunus         species             PRSP2   0.470   0.518   0.044    B     0.460   0.052    B     0.295   0.112    B     0.356   0.338      C"
"Prunus         virginiana          PRVI    0.360   0.518   0.044    B     0.460   0.052    B     0.295   0.112    B     0.356   0.338      C"
"Pseudotsuga    menziesii           PSME    0.450   0.382   0.011    B     0.354   0.013    B     0.216   0.057    B     0.207   0.336      C"
"Quercus        agrifolia           QUAG    0.700   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        alba                QUAL    0.600   0.601   0.028    B     0.426   0.045    B     0.352   0.085    B     0.282   0.336      C"
"Quercus        arizonica, grisea   QUAR    0.700   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        bicolor             QUBI    0.640   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        chrysolepis         QUCH    0.700   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        coccinea            QUCO    0.600   0.605   0.037    B     0.552   0.049    B     0.464   0.085    B     0.405   0.336      C"
"Quercus        douglasii           QUDO    0.510   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"continued"
"27"
"28"
""
""
"Appendix C.—continued"
"Genus          Species            Code     den0    den1    unc1    cod1   den2    unc2    cod2   den3    unc3    cod3   den4    unc4      cod4"
"Quercus        durandii           QUDU     0.600   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        ellipsoidalis      QUEL     0.560   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        emoryi             QUEM     0.700   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        engelmannii        QUEN     0.700   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        falcata var. falcata QUFA   0.520   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        falcata var.       QUFA2    0.610   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"pagodaefolia"
"Quercus        gambelii           QUGA     0.640   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        garryana           QUGA2    0.640   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        hypoleucoides      QUHY     0.700   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        ilicifolia         QUIL     0.560   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        imbricaria         QUIM     0.560   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        incana             QUIN     0.560   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        kelloggii          QUKE     0.510   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        laevis             QULA     0.520   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        laurifolia         QULA2    0.560   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        lobata             QULO     0.640   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        lyrata             QULY     0.570   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        macrocarpa         QUMA     0.580   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        marilandica        QUMA2    0.560   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        michauxii          QUMI     0.600   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        muehlenbergii      QUMU     0.600   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        nigra              QUNI     0.560   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        nuttalli           QUNU     0.560   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
