"","plot_ID","azimuth","species","class_1","class_2","class_3","notes"
"825","OMSFSH17mat3",240,"FAGR",6,0,1,""
"826","OSFCD1gap1",0,"FAGR",1,0,0,""
"827","OSFCD1mat2",240,"ACSA",0,0,1,""
"828","OSFCD1mat2",0,"ACSA",1,1,0,""
"829","OSFCD1mat3",120,"TSCA",1,0,0,""
"830","OSFCD1mat3",240,"TSCA",3,0,1,""
"831","OSFCD1mat3",240,"TSCA-dead",1,0,0,""
"832","OSFCD3unh1",120,"FAGR",4,0,0,""
"833","OSFCD3unh1",120,"ACSA",1,0,0,""
"834","OSFCD3unh1",240,"ACSA-dead",1,0,0,""
"835","OSFCD3unh1",240,"ACSA-dead",1,0,0,""
"836","OSFCD3unh1",240,"FAGR",0,0,1,"* marked to be cut"
"837","OSFCD3unh2",120,"FAGR",0,1,0,""
"838","OSFCD3unh2",120,"ACSA-dead",1,1,0,""
"839","OSFCD3unh2",240,"ACSA",2,0,0,""
"840","OSFCD3unh3",0,"FAGR",1,0,0,""
"841","OSFCD3unh3",120,"ACSA",0,0,1,""
"842","OSFCD3unh3",120,"FAGR",4,0,0,""
"843","OSFCD3unh3",240,"FAGR",2,0,0,""
"844","OSFCD3unh3",240,"ACSA",0,0,1,""
"845","OSFCD3unh4",0,"ACSA",2,1,1,""
"846","OSFCD3unh4",0,"FAGR",0,1,1,""
"847","OSFCD3unh4",0,"OSVI",0,0,1,"* marked to be cut"
"848","OSFCD3unh4",120,"FAGR",5,0,0,"*marked to be cut"
"849","OSFCD3unh4",120,"ACSA",1,0,0,"* marked to be cut"
"850","OSFCD3unh4",240,"ACSA",0,1,0,""
"851","OSFCD3unh4",240,"FAGR",0,1,0,"* marked to be cut"
"852","PSFPMHgap1",0,"ACPE-dead",1,0,0,""
"853","PSFPMHgap1",120,"ACPE-dead",1,0,0,""
"854","PSFPMHgap1",240,"ACSA",0,0,1,""
"855","PSFPMHgap3",0,"FAGR",1,0,0,""
"856","PSFPMHgap3",120,"FAGR",2,0,0,""
"857","PSFPMHgap3",120,"FAGR-dead",1,0,0,""
"858","PSFPMHmat1",120,"ACSA",1,0,0,""
"859","PSFPMHmat1",240,"FAGR",1,0,0,""
"860","PSFPMHmat2",0,"FAGR",1,0,0,""
"887","SSFYL2gap2",120,"FAGR",0,1,0,""
"888","SSFYL2gap3",120,"CACA",1,0,0,""
"889","SSFYL2mat1",0,"ACSA",2,0,1,""
"890","SSFYL2mat1",120,"ACSA",1,0,0,""
"891","SSFYL2mat1",240,"ACPE",1,0,0,""
"892","SSFYL2mat1",240,"ACSA",1,0,0,""
"893","SSFYL2mat2",0,"FAGR",1,0,0,""
"894","SSFYL2mat2",0,"FRAM-dead",0,0,1,""
"895","SSFYL2mat2",120,"ACSA",0,0,1,""
"896","SSFYL2mat2",240,"ACSA",0,2,0,""
"897","SSFYL2mat3",0,"ACSA",1,0,0,""
"898","SSFYL2mat3",120,"ACPE",1,0,0,""
"899","SSFYL2mat3",120,"ACSA",0,1,1,""
"900","SSFYL2mat3",240,"ACSA",0,1,0,""
