"","plot_ID","DBH_cm","canopy_condition","DH","WH","bark","ES","BS","bark_blonding","species","notes"
"682","OSFCD3unh4","49.5","1","NO","NO","NO","NO","NO","NO","FRAM",""
"683","OSFCD3unh4","20.8","3","NO","NO","NO","YES","NO","NO","FRAM",""
"684","OSFCD3unh4","41.6","1","NO","NO","NO","NO","NO","YES","FRAM",""
"685","PSFPMHgap1","40.6","2","NO","NO","NO","NO","NO","YES","FRAM",""
"686","PSFPMHgap1","21.7","2","NO","NO","NO","YES","NO","YES","FRAM",""
"687","PSFPMHgap1","33.2","1","NO","NO","YES","NO","NO","YES","FRAM",""
"688","PSFPMHgap1","40.2","2","NO","NO","NO","NO","NO","NO","FRAM",""
"689","PSFPMHmat1","37.6","2","NO","NO","NO","NO","NO","YES","FRAM",""
"690","PSFPMHmat1","29.9","2","NO","NO","NO","NO","NO","YES","FRAM",""
"691","PSFPMHmat1","19.1","5","NO","NO","NO","NO","NO","NO","FRAM",""
"692","PSFPMHmat1","24.6","2","NO","NO","YES","YES","NO","YES","FRAM",""
"693","PSFPMHmat2","38.3","2","NO","NO","NO","NO","NO","YES","FRAM",""
"694","PSFPMHmat2","36.6","4","NO","YES","NO","YES","YES","YES","FRAM",""
"695","PSFPMHmat2","17.7","5","NO","YES","NO","NO","YES","NO","FRAM",""
"696","PSFPMHmat2","41.6","1","NO","NO","NO","YES","NO","YES","FRAM",""
"697","PSFPMHmat2","48.9","2","NO","NO","NO","NO","NO","YES","FRAM",""
"698","PSFPMHmat2","44.3","3","NO","YES","NO","YES","YES","NO","FRAM",""
"699","PSFPMHmat3","36.2","2","NO","NO","NO","NO","NO","YES","FRAM",""
"700","PSFPMHmat3","26.1","1","NO","YES","NO","YES","NO","YES","FRAM",""
"701","PSFPMHmat3","36.7","3","NO","NO","NO","YES","NO","NO","FRAM",""
"718","SSFYL2gap1","32.6","3","NO","NO","NO","YES","NO","NO","FRAM",""
"719","SSFYL2gap1","43.2","3","NO","NO","NO","YES","NO","YES","FRAM",""
"720","SSFYL2gap2","12.4","2","NO","NO","YES","NO","NO","NO","FRAM",""
"721","SSFYL2gap3","67","3","NO","YES","YES","YES","NO","YES","FRAM",""
"722","SSFYL2mat1","35.1","5","NO","NO","NO","YES","NO","YES","FRAM",""
"723","SSFYL2mat2","82.9","3","NO","NO","YES","YES","NO","YES","FRAM",""
"724","SSFYL2mat2","71.1","4","NO","NO","NO","YES","NO","YES","FRAM",""
"725","SSFYL2mat3","20.9","2","NO","NO","NO","YES","NO","NO","FRAM",""
"726","SSFYL2mat3","20.8","3","NO","NO","YES","YES","NO","NO","FRAM",""
"727","SSFYL2mat3","21.4","2","NO","NO","YES","YES","NO","NO","FRAM",""
