"","plot_ID","azimuth","species","tally","X"
"766","OMSFHRgap1",300,"BEAL",3,""
"767","OMSFHRgap1",300,"QURU",1,""
"768","OMSFHRgap1",300,"FAGR",1,""
"769","OMSFHRgap1",300,"ACRU",3,""
"770","OMSFHRgap2",60,"ACRU",5,""
"771","OMSFHRgap2",180,"ACRU",1,""
"772","OMSFHRgap2",180,"RUBUS",1,""
"773","OMSFHRgap2",300,"ACRU",2,""
"774","OMSFHRgap2",300,"BEAL",1,""
"775","OMSFHRgap3",60,"RUBUS",2,""
"776","OMSFHRgap3",180,"BEAL",1,""
"777","OMSFHRgap3",180,"ACRU",3,""
"778","OMSFHRgap3",180,"FRAM",1,""
"779","OMSFHRgap3",300,"ACRU",1,""
"780","OMSFHRgap3",300,"FRAM",1,""
"781","OMSFHRgap3",300,"BEAL",1,""
"782","OMSFHRmat1",60,"ACRU",13,""
"783","OMSFHRmat1",180,"ACRU",7,""
"784","OMSFHRmat1",180,"FAGR",1,""
"785","OMSFHRmat1",180,"FRAM",2,""
"786","OMSFHRmat1",300,"ACRU",24,""
"787","OMSFHRmat2",60,"QURU",1,""
"788","OMSFHRmat2",60,"ACRU",4,""
"789","OMSFHRmat2",300,"ACRU",2,""
"790","OMSFHRmat2",180,"ACRU",9,""
"791","OMSFHRmat2",180,"FAGR",1,""
"792","OMSFHRmat3",60,"ACRU",4,""
"793","OMSFHRmat3",180,"BEAL",2,""
"794","OMSFHRmat3",180,"ACRU",1,""
"795","OMSFHRmat3",180,"RUBUS",1,""
"796","OMSFHRmat3",180,"FAGR",1,""
"797","OMSFHRmat3",300,"FAGR",3,""
"798","OMSFHRmat3",300,"ACRU",2,""
"799","OMSFHRmat3",300,"ACPE",1,""
"800","OMSFHRmat3",300,"BEAL",1,""
"801","OMSFSCHgap1",60,"ACSP2",2,"mountain maple"
"802","OMSFSCHgap1",180,"ACSP2",6,"mountain maple"
"803","OMSFSCHgap1",300,"ACSP2",1,"mountain maple"
"804","OMSFSCHgap2",60,"RUBUS",1,""
"805","OMSFSCHgap2",300,"RUBUS",3,""
"806","OMSFSCHgap2",180,"RUBUS",7,""
"807","OMSFSCHgap3",300,"RUBUS",4,""
"808","OMSFSCHgap3",60,"FRAM",3,""
"809","OMSFSCHgap3",60,"RUBUS",2,""
"810","OMSFSCHgap3",180,"RUBUS",2,""
"811","OMSFSCHmat2",300,"VIAL",1,""
"812","OMSFSH14gap1",60,"RUBUS",3,""
"813","OMSFSH14gap1",180,"FAGR",1,""
"814","OMSFSH14gap1",300,"RUBUS",10,""
"815","OMSFSH14gap2",60,"ACRU",2,""
"816","OMSFSH14gap2",60,"RUBUS",5,""
"817","OMSFSH14gap2",180,"RUBUS",4,""
"818","OMSFSH14gap2",300,"ACRU",4,""
"819","OMSFSH14gap2",300,"RUBUS",1,""
"820","OMSFSH14gap3",60,"ACSA",1,""
"821","OMSFSH14gap3",180,"RUBUS",4,""
"822","OMSFSH14gap3",300,"FAGR",1,""
"823","OMSFSH14gap3",300,"RUBUS",3,""
"824","OMSFSH14mat1",60,"VIAL",4,""
"825","OMSFSH14mat1",180,"FAGR",1,""
"826","OMSFSH14mat1",180,"VIAL",3,""
"827","OMSFSH14mat1",300,"ACPE",1,""
"828","OMSFSH14mat1",300,"ACRU",1,""
"829","OMSFSH14mat2",60,"QURU",1,""
"830","OMSFSH14mat2",60,"ACPE",1,""
"831","OMSFSH14mat2",60,"ACRU",2,""
"832","OMSFSH14mat2",180,"ACPE",1,""
"833","OMSFSH14mat3",60,"ACRU",1,""
"834","OMSFSH14mat3",300,"BEAL",2,""
"835","OMSFSH17gap1",60,"FAGR",1,""
"836","OMSFSH17gap1",60,"VIAL",6,""
"837","OMSFSH17gap1",180,"BEAL",1,""
"838","OMSFSH17gap1",180,"FAGR",2,""
"839","OMSFSH17gap1",300,"ACRU",1,""
"840","OMSFSH17gap2",60,"FAGR",3,""
"841","OMSFSH17gap2",180,"FAGR",2,""
"842","OMSFSH17gap2",180,"ACRU",4,""
"843","OMSFSH17gap2",300,"FAGR",2,""
"844","OMSFSH17gap3",60,"ACRU",3,""
"845","OMSFSH17gap3",60,"PRSE",1,""
"846","OMSFSH17gap3",180,"ACRU",1,""
"847","OMSFSH17gap3",300,"ACRU",1,""
"848","OMSFSH17gap3",300,"FAGR",1,""
"849","OMSFSH17mat1",60,"ACSA",1,""
"850","OMSFSH17mat1",60,"ACRU",2,""
"851","OMSFSH17mat1",60,"RUBUS",2,""
"852","OMSFSH17mat1",180,"VIAL",3,""
"853","OMSFSH17mat1",180,"ACRU",2,""
"854","OMSFSH17mat1",300,"ACSA",3,""
"855","OMSFSH17mat1",300,"VIAL",7,""
"856","OMSFSH17mat1",300,"FAGR",1,""
"857","OMSFSH17mat2",60,"ACPE",1,""
"858","OMSFSH17mat2",60,"ACRU",2,""
"859","OMSFSH17mat2",180,"ACRU",5,""
"860","OMSFSH17mat2",300,"ACRU",4,""
"861","OMSFSH17mat2",300,"FAGR",2,""
"862","OMSFSH17mat3",60,"FAGR",1,""
"863","OMSFSH17mat3",60,"ACPE",2,""
"864","OMSFSH17mat3",60,"ACRU",1,""
"865","OMSFSH17mat3",300,"ACRU",1,""
"866","OSFCD1gap1",180,"QURU",1,""
"867","OSFCD1gap2",180,"RUBUS",1,""
"868","OSFCD1gap2",180,"ACRU",1,""
"869","OSFCD1gap2",300,"PIST",3,""
"870","OSFCD1gap2",300,"ACRU",1,""
"871","OSFCD1gap3",60,"BEAL",1,""
"872","OSFCD1gap3",180,"BEAL",6,""
"873","OSFCD1gap3",180,"RUBUS",7,""
"874","OSFCD1gap3",180,"PIST",1,""
"875","OSFCD1gap3",300,"BEAL",1,""
"876","OSFCD1mat1",60,"QURU",1,""
"877","OSFCD1mat1",300,"ACSA",1,""
"878","OSFCD1mat1",300,"ACRU",1,""
"879","OSFCD1mat2",60,"ACSA",1,""
"880","OSFCD1mat2",300,"ACSA",2,""
"881","OSFCD1mat2",300,"PIST",3,""
"882","OSFCD1mat2",300,"QURU",1,""
"883","OSFCD1mat2",300,"ACRU",3,""
"884","OSFCD1mat2",300,"FRAM",1,""
"885","OSFCD1mat2",300,"PRSE",1,""
"886","OSFCD1mat3",300,"PIST",1,""
"887","OSFCD3unh1",300,"ACSA",3,""
"888","OSFCD3unh2",60,"ACSA",1,""
"889","OSFCD3unh2",180,"ACSA",3,""
"890","OSFCD3unh2",180,"ACPE",1,""
"891","OSFCD3unh2",300,"ACSA",3,""
"892","OSFCD3unh3",180,"ACSA",1,""
"893","OSFCD3unh4",60,"QURU",1,""
"894","OSFCD3unh4",180,"QURU",1,""
"895","OSFCD3unh4",300,"ACSA",1,""
"896","PSFPMHgap1",60,"RUBUS",8,""
"897","PSFPMHgap1",180,"ACPE",1,""
"898","PSFPMHgap1",180,"RUBUS",4,""
"899","PSFPMHgap1",300,"ACSA",3,""
"900","PSFPMHgap1",300,"BEAL",1,""
"901","PSFPMHgap2",60,"ACSA",4,""
"902","PSFPMHgap2",60,"RUBUS",8,""
"903","PSFPMHgap2",180,"BEAL",3,""
"904","PSFPMHgap2",180,"RUBUS",4,""
"905","PSFPMHgap2",180,"ACSA",1,""
"906","PSFPMHgap2",300,"BEAL",3,""
"907","PSFPMHgap2",300,"ACSA",1,""
"908","PSFPMHgap2",300,"RUBUS",1,""
"909","PSFPMHgap3",60,"ACSA",1,""
"910","PSFPMHgap3",60,"FAGR",1,""
"911","PSFPMHgap3",60,"BEAL",1,""
"912","PSFPMHgap3",60,"ACPE",1,""
"913","PSFPMHgap3",60,"RUBUS",2,""
"914","PSFPMHgap3",180,"ACSA",2,""
"915","PSFPMHgap3",180,"RUBUS",2,""
"916","PSFPMHgap3",180,"VIAL",5,""
"917","PSFPMHgap3",300,"FAGR",3,""
"918","PSFPMHgap3",300,"ACSA",3,""
"919","PSFPMHgap3",300,"FRAM",6,""
"920","PSFPMHgap3",300,"RUBUS",2,""
"921","PSFPMHmat1",60,"RUBUS",2,""
"922","PSFPMHmat1",60,"ACSA",3,""
"923","PSFPMHmat1",60,"BEAL",1,""
"924","PSFPMHmat1",180,"ACSA",1,""
"925","PSFPMHmat1",180,"RUBUS",3,""
"926","PSFPMHmat1",300,"RUBUS",4,""
"927","PSFPMHmat1",300,"ACPE",1,""
"928","PSFPMHmat1",300,"ACSA",6,""
"929","PSFPMHmat2",180,"ACSA",4,""
"930","PSFPMHmat2",300,"ACSA",3,""
"931","PSFPMHmat3",60,"BEAL",2,""
"932","PSFPMHmat3",60,"ACSA",8,""
"933","PSFPMHmat3",60,"RUBUS",3,""
"934","PSFPMHmat3",180,"ACSA",2,""
"935","PSFPMHmat3",180,"BEAL",1,""
"936","PSFPMHmat3",300,"ACSA",4,""
"937","PSFPMHmat3",300,"RUBUS",7,""
"948","SSFYL2gap1",60,"RUBUS",3,""
"949","SSFYL2gap1",300,"RUBUS",5,""
"950","SSFYL2gap2",60,"ACRU",2,""
"951","SSFYL2gap2",180,"BEPA",2,"? see pic"
"952","SSFYL2gap2",300,"FRAM",1,""
"953","SSFYL2gap2",300,"RUBUS",2,""
"954","SSFYL2gap2",300,"ACRU",1,""
"955","SSFYL2gap3",60,"RUBUS",6,""
"956","SSFYL2gap3",180,"RUBUS",2,""
"957","SSFYL2mat1",60,"PRSE",3,""
"958","SSFYL2mat1",180,"ACRU",1,""
"959","SSFYL2mat2",60,"VISP",8,"viburnum species"
"960","SSFYL2mat2",180,"ACSA",2,""
"961","SSFYL2mat2",300,"BEAL",2,""
"962","SSFYL2mat3",60,"PRVI",2,""
"963","SSFYL2mat3",300,"ACRU",1,""
"964","SSFYL2mat3",300,"RUBUS",1,""
